Identifier,Fish ID,Feed,Position,Replicates,Fish_Type,Lipid_%,C4:0,C6:0,C8:0,C10:0,C11:0,C12:0,C14:0,C14:1,C15:0,C15:1,C16:0,C16:1,C17:0,C17:1,C18:0,C18:1n9c,C18:1n9t,C18:2n6t,C18:2n6c,C18:3n6c,C18:3n3c,C20:0,C20:1n9,C20:2,C20:3n6,C20:4n6,C21:0,C20:3n3,C20:5n3,C22:0,C22:1n9,C22:2,C23:0,DPA,C22:6n3,C24:0,C24:1n9
S16_NQC2_R1,S16,C,NQC2,R1,Big,9.66,0,0,0,0,0,0,1.990759651,0,0.172062683,0,9.89911358,2.152285862,0.197894286,0.120474055,2.473810865,37.79431156,2.415049005,0.097506251,13.63659692,0.241911204,5.82337782,0.238928735,2.622164309,0.961199555,0.370624159,0.434657798,0.445290352,0.849858379,3.935480822,0.103860536,1.199666143,0.252164041,0.156438623,1.489474469,7.205926345,0,0.319112105
S16_NQC2_R2,S16,C,NQC2,R2,Big,11.12,0,0,0,0,0.033076461,0.064919476,2.184576591,0.05500144,0.067268461,0.182093954,9.94608837,2.475138135,0.270778782,0.294280794,4.883574784,35.34137823,1.90180151,0.132606021,16.70043,0.264859358,6.590321838,0.349476562,3.999165342,1.206079287,0.371783701,0.267546377,0.528084586,0.890914314,3.088262546,0.176050885,1.891010314,0.272843603,0.108176223,1.322635226,1.578612924,0.059436843,0.317334241
S16_NQC2_R3,S16,C,NQC2,R3,Big,9.2,0,0,0,0,0,0.106303917,1.969350786,0.052314417,0.061222782,0.169696832,9.264781133,2.226180769,0.224515772,0.288147313,2.915407332,39.9280096,2.064993866,0.058375379,14.85704907,0.239339671,5.852964339,0.332980248,3.686074,1.097181012,0.349194575,0.259299325,0.482162144,0.808725431,2.967497734,0.19097959,1.788148125,0.269210714,0.119483214,1.259675142,3.695814185,0.064264177,0.310703785
S16_F2_R1,S16,C,F2,R1,Big,13.77,0,0,0,0,0,0.048402771,2.420646464,0.05178869,0.071814305,0.196907204,11.25635174,2.71959351,0.29130964,0.322435215,1.580141723,29.72436718,1.596517162,0.147541691,18.28434468,0.292999487,7.269820996,0.402362485,4.475016611,1.346158613,0.405228921,0.305706857,0.585748633,0.97824625,3.47708297,0.181562683,2.137381955,0.303024807,0.114041367,1.446757078,4.70467821,0.069097689,0.370940409
S16_F2_R2,S16,C,F2,R2,Big,15.99,0,0,0,0,0,0.047970932,2.339536844,0.054591748,0.071365886,0.192116823,10.96218551,2.631867918,0.243456487,0.309292883,1.755054753,31.21848777,1.776854934,0.141285747,17.77750621,0.285517934,7.075117441,0.391621955,4.31388909,1.295729262,0.386720466,0.277411662,0.56580102,0.935768758,3.317454468,0.193410874,2.063657992,0.295104278,0.107641064,1.801545724,4.445708134,0.071663896,0.370637273
S16_F2_R3,S16,C,F2,R3,Big,14.78,0.036341496,0,0,0,0,0.053955559,2.485738679,0.057235341,0.073971342,0.200476735,11.27826021,2.783952097,0.257288885,0.32783889,1.884332311,28.26002248,1.816621832,0.146958231,18.76849227,0.301690549,7.470477843,0.395867477,4.503985506,1.379470125,0.418116068,0.311026131,0.602349902,0.992426047,3.434455017,0.188970185,2.079955613,0.302853549,0.112548644,1.773361258,4.463557016,0.066952461,0.363366541
S16_H_R1,S16,C,H,R1,Big,6.94,0,0,0,0,0.101127819,0,1.748531757,0.083758036,0.168563104,0.254891281,9.9955675,1.932249587,0.156195113,0.112911577,2.717449334,39.39682883,2.082164275,0,12.88570357,0.231724611,5.164581635,0.329315056,3.29806559,1.011776578,0.367891337,0.417355284,0.443512889,0.786021059,3.756744882,0.131303624,1.544153389,0.257699274,0.157973144,1.429662847,6.7450299,0,0.330111975
S16_H_R2,S16,C,H,R2,Big,8.1,0,0,0,0,0,0.046287578,2.294252692,0.082209269,0.181348565,0.066010111,10.37552543,2.555343818,0.194977114,0.123296753,5.868722912,30.45591346,1.786853821,0.134729799,16.64769713,0.283301895,6.65426518,0.344430613,3.91511755,1.218867154,0.381560333,0.296084973,0.54205316,0.945314135,3.435468562,0.145753915,1.80136863,0.191035097,0.118647603,1.373923539,4.648271875,0,0.327102848
S16_H_R3,S16,C,H,R3,Big,6.39,0.045650536,0,0,0,0.050591777,0.040778653,2.044348406,0.072265881,0.169463255,0.057406306,10.12697119,2.342646659,0.189638481,0.104886131,6.148121652,32.18014104,1.803127377,0.131143055,15.7269301,0.255769315,6.200454583,0.348752148,3.847795955,1.168374544,0.379633198,0.343536774,0.504181315,0.867770967,3.367549174,0.154317406,1.820172537,0.185803681,0.12978414,1.351916968,5.049748371,0,0.329190951
S16_T_R1,S16,C,T,R1,Big,3.45,0,0,0,0,0,0.115749612,1.840710297,0,0.174687754,0,10.42465728,1.993250928,0.176691633,0.10159926,2.75990209,36.87855861,2.20932491,0,12.84650212,0.229924796,5.501539339,0.253573413,2.7942753,0.958360286,0.384827672,0.500810895,0.434422635,0.824668507,4.179058645,0.111471757,1.227849174,0.166740293,0.179030482,1.589926662,8.455692765,0,0.354472983
